"","age","workclass","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income_class"
"2096",49,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1485,40,"United-States",">50K"
"2107",42,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1887,40,"United-States",">50K"
"2113",45,"Private",10,"Married","Admin","Wife","White","Female",0,1902,35,"United-States",">50K"
"2117",37,"Private",9,"Not-Married","Blue-Collar","Not-in-family","White","Male",0,1669,55,"United-States","<=50K"
"2154",44,"Private",14,"Married","Professional","Husband","White","Male",0,1887,35,"United-States",">50K"
"2241",38,"Federal-Govt",15,"Married","Professional","Husband","White","Male",0,1977,50,"United-States",">50K"
"2260",38,"Other-Govt",13,"Never-Married","White-Collar","Unmarried","Asian","Male",0,1741,40,"SE-Asia","<=50K"
"2273",19,"Private",10,"Never-Married","Sales","Own-child","White","Female",0,1602,10,"United-States","<=50K"
"2276",23,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1902,40,"United-States","<=50K"
"2291",18,"Private",9,"Never-Married","Blue-Collar","Own-child","White","Female",0,1719,15,"United-States","<=50K"
"2305",45,"Private",13,"Married","Sales","Husband","White","Male",0,1902,40,"United-States",">50K"
"2326",39,"Private",13,"Married","White-Collar","Husband","White","Male",0,1887,50,"United-States",">50K"
"2331",53,"Federal-Govt",10,"Married","White-Collar","Wife","Asian","Female",0,1887,40,"SE-Asia",">50K"
"2335",51,"Private",10,"Married","White-Collar","Husband","White","Male",0,1887,65,"United-States",">50K"
"2359",67,"Other-Govt",7,"Married","Blue-Collar","Husband","White","Male",0,419,3,"United-States","<=50K"
"2380",42,"Private",10,"Not-Married","White-Collar","Not-in-family","White","Male",0,1408,40,"United-States","<=50K"
"2383",39,"Private",9,"Never-Married","Sales","Not-in-family","White","Male",0,1590,40,"United-States","<=50K"
"2393",35,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1579,40,"United-States","<=50K"
"2396",25,"Private",8,"Never-Married","Blue-Collar","Not-in-family","White","Male",0,1741,40,"United-States","<=50K"
"2397",53,"Private",14,"Never-Married","Professional","Not-in-family","White","Female",0,1564,54,"United-States",">50K"
"2415",44,"Private",13,"Not-Married","White-Collar","Unmarried","White","Male",0,2547,50,"United-States",">50K"
"2421",66,"Other-Govt",13,"Married","Professional","Husband","White","Male",0,2174,40,"United-States",">50K"
"2422",68,"Private",9,"Widowed","Admin","Not-in-family","White","Female",0,2206,30,"United-States","<=50K"
"2427",55,"Self-Employed",15,"Married","Professional","Husband","White","Male",0,2415,35,"Euro_2",">50K"
"2469",42,"Private",13,"Not-Married","Sales","Not-in-family","White","Male",0,1590,40,"United-States","<=50K"
"2474",39,"Self-Employed",13,"Married","Sales","Husband","White","Male",0,2415,60,"United-States",">50K"
"2502",31,"Self-Employed",13,"Not-Married","White-Collar","Not-in-family","White","Male",0,1980,60,"United-States","<=50K"
"2528",34,"Private",13,"Never-Married","White-Collar","Other-relative","White","Female",0,1741,45,"United-States","<=50K"
"2608",45,"Private",13,"Married","White-Collar","Husband","White","Male",0,1977,55,"United-States",">50K"
"2631",42,"Federal-Govt",7,"Never-Married","Other-Occupations","Not-in-family","White","Male",0,1340,40,"United-States","<=50K"
"2736",26,"Private",10,"Never-Married","Professional","Not-in-family","White","Male",0,1602,40,"United-States","<=50K"
"2744",30,"Other-Govt",9,"Married","Admin","Husband","White","Male",0,1902,40,"United-States","<=50K"
"2757",43,"Other-Govt",14,"Married","White-Collar","Husband","White","Male",0,1977,60,"United-States",">50K"
"2776",49,"Other-Govt",16,"Married","Professional","Husband","Black","Male",0,1902,60,"United-States",">50K"
"2785",61,"Private",3,"Never-Married","Blue-Collar","Not-in-family","Black","Male",0,2339,40,"United-States","<=50K"
"2797",47,"Self-Employed",15,"Married","Professional","Husband","White","Male",0,1977,60,"United-States",">50K"
"2814",24,"Private",10,"Never-Married","Admin","Not-in-family","White","Male",0,2205,24,"United-States","<=50K"
"2834",58,"Self-Employed",15,"Married","Professional","Husband","White","Male",0,1977,50,"United-States",">50K"
"2842",45,"Other-Govt",15,"Not-Married","Professional","Unmarried","Black","Female",0,1726,40,"United-States","<=50K"
"2844",41,"Other-Govt",10,"Married","Service","Husband","White","Male",0,1485,40,"United-States",">50K"
"2860",40,"Self-Employed",15,"Never-Married","Professional","Not-in-family","White","Male",0,2444,45,"United-States",">50K"
"2902",67,"Self-Employed",13,"Married","White-Collar","Husband","White","Male",0,2392,75,"United-States",">50K"
"2905",31,"Private",10,"Married","Service","Husband","White","Male",0,1672,50,"United-States","<=50K"
"2908",33,"Other-Govt",9,"Not-Married","Admin","Own-child","White","Female",0,1138,40,"United-States","<=50K"
"2926",49,"Private",12,"Married","Sales","Wife","White","Female",0,1902,40,"United-States",">50K"
"2936",50,"Other-Govt",10,"Married","Admin","Husband","White","Male",0,1740,48,"United-States","<=50K"
"2952",48,"Private",10,"Widowed","White-Collar","Unmarried","Black","Female",0,1669,38,"United-States","<=50K"
"3022",57,"Private",15,"Married","Blue-Collar","Husband","Asian","Male",0,1902,40,"SE-Asia",">50K"
"3025",24,"Private",9,"Never-Married","Sales","Own-child","White","Female",0,1762,32,"United-States","<=50K"
"3028",42,"Self-Employed",15,"Married","Professional","Husband","White","Male",0,2415,60,"United-States",">50K"
"3032",31,"Private",9,"Not-Married","Blue-Collar","Unmarried","White","Female",0,2238,40,"United-States","<=50K"
"3046",61,"Private",3,"Not-Married","Blue-Collar","Not-in-family","White","Male",0,1876,56,"United-States","<=50K"
"3086",20,"Self-Employed",10,"Never-Married","Blue-Collar","Own-child","White","Male",0,2258,10,"United-States","<=50K"
"3092",48,"Private",15,"Married","Other-Occupations","Husband","White","Male",0,1977,40,"United-States",">50K"
"3093",60,"Self-Employed",5,"Married","Blue-Collar","Husband","White","Male",0,1672,84,"United-States","<=50K"
"3102",65,"Self-Employed",9,"Married","Blue-Collar","Husband","White","Male",0,2352,65,"United-States","<=50K"
"3107",42,"Other-Govt",13,"Married","White-Collar","Husband","White","Male",0,1977,48,"United-States",">50K"
"3126",55,"Private",14,"Married","White-Collar","Husband","White","Male",0,1977,50,"United-States",">50K"
"3138",51,"Private",6,"Married","Sales","Husband","White","Male",0,1977,40,"United-States",">50K"
"3144",32,"Private",14,"Married","White-Collar","Husband","Black","Male",0,1977,40,"United-States",">50K"
"3207",45,"Other-Govt",13,"Married","White-Collar","Husband","White","Male",0,1977,50,"United-States",">50K"
"3213",49,"Private",13,"Married","Sales","Husband","White","Male",0,2415,55,"United-States",">50K"
"3222",53,"Other-Govt",9,"Married","Service","Husband","White","Male",0,2002,45,"United-States","<=50K"
"3226",42,"Self-Employed",13,"Married","Blue-Collar","Husband","White","Male",0,1902,80,"United-States",">50K"
"3250",38,"Private",13,"Married","White-Collar","Husband","White","Male",0,1887,50,"United-States",">50K"
"3258",31,"Private",9,"Not-Married","Blue-Collar","Own-child","White","Male",0,1669,50,"United-States","<=50K"
"3261",34,"Private",13,"Married","Professional","Husband","White","Male",0,1848,40,"South-America",">50K"
"3320",20,"Private",9,"Never-Married","Blue-Collar","Own-child","White","Male",0,1590,40,"United-States","<=50K"
"3327",32,"Private",10,"Not-Married","Blue-Collar","Not-in-family","White","Female",0,1590,54,"United-States","<=50K"
"3344",41,"Self-Employed",11,"Married","Sales","Husband","Other","Male",0,2179,84,"Latin-America","<=50K"
"3352",30,"Private",10,"Never-Married","Service","Not-in-family","White","Female",0,1719,25,"United-States","<=50K"
"3489",26,"Private",13,"Never-Married","White-Collar","Not-in-family","White","Female",0,1669,50,"United-States","<=50K"
"3504",40,"Private",9,"Not-Married","White-Collar","Unmarried","White","Female",0,625,52,"United-States","<=50K"
"3544",43,"Other-Govt",10,"Married","Admin","Wife","White","Female",0,1902,40,"United-States",">50K"
"3553",56,"Private",14,"Married","Blue-Collar","Husband","White","Male",0,1977,44,"United-States",">50K"
"3575",68,"Other-Govt",16,"Married","Professional","Husband","White","Male",0,2377,60,"United-States",">50K"
"3576",43,"Private",10,"Married","White-Collar","Husband","White","Male",0,1902,40,"United-States",">50K"
"3584",43,"Other-Govt",10,"Married","Other-Occupations","Husband","White","Male",0,1887,40,"United-States",">50K"
"3603",72,"Self-Employed",16,"Married","Professional","Husband","White","Male",0,2392,25,"United-States",">50K"
"3630",32,"Private",9,"Married","Professional","Husband","White","Male",0,1485,48,"United-States","<=50K"
"3640",39,"Private",13,"Married","Sales","Husband","White","Male",0,1848,40,"United-States",">50K"
"3656",42,"Private",15,"Married","Professional","Husband","White","Male",0,1902,60,"United-States",">50K"
"3668",37,"Private",14,"Not-Married","White-Collar","Unmarried","White","Female",0,213,45,"United-States","<=50K"
"3692",34,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1672,40,"United-States","<=50K"
"3698",28,"Private",9,"Married","Sales","Husband","White","Male",0,1628,40,"United-States","<=50K"
"3710",41,"Other-Govt",13,"Married","Professional","Wife","White","Female",0,1740,20,"United-States","<=50K"
"3725",38,"Private",14,"Married","White-Collar","Husband","White","Male",0,1977,60,"United-States",">50K"
"3756",28,"Other-Govt",9,"Never-Married","Other-Occupations","Other-relative","Black","Male",0,1876,40,"United-States","<=50K"
"3778",80,"Private",10,"Never-Married","Professional","Not-in-family","White","Male",0,1816,60,"United-States","<=50K"
"3787",33,"Self-Employed",12,"Married","White-Collar","Husband","White","Male",0,1887,60,"United-States",">50K"
"3832",48,"Private",13,"Married","Professional","Husband","White","Male",0,1485,40,"United-States",">50K"
"3851",45,"Private",11,"Married","Sales","Husband","White","Male",0,1977,50,"United-States",">50K"
"3861",43,"Private",13,"Married","Sales","Husband","White","Male",0,1887,40,"United-States",">50K"
"3863",41,"Private",11,"Married","Other-Occupations","Husband","White","Male",0,1848,48,"United-States",">50K"
"3894",50,"Federal-Govt",9,"Not-Married","Professional","Not-in-family","White","Male",0,1590,40,"United-States","<=50K"
"3901",53,"Private",13,"Married","White-Collar","Husband","White","Male",0,1902,55,"United-States",">50K"
"3906",56,"Private",4,"Married","Blue-Collar","Husband","White","Male",0,2002,40,"United-States","<=50K"
"3952",24,"Federal-Govt",13,"Never-Married","Professional","Not-in-family","White","Male",0,1741,45,"United-States","<=50K"
"3957",42,"Private",14,"Not-Married","Professional","Not-in-family","White","Female",0,1876,40,"United-States","<=50K"
"3967",49,"Private",14,"Married","Professional","Wife","White","Female",0,1977,40,"United-States",">50K"
"3969",48,"Private",7,"Married","Blue-Collar","Husband","White","Male",0,2002,40,"United-States","<=50K"
"3998",37,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1628,40,"United-States","<=50K"
"4019",72,"Private",16,"Married","Professional","Husband","White","Male",0,2392,6,"United-States",">50K"
"4032",36,"Private",9,"Married","Professional","Husband","White","Male",0,1977,40,"United-States",">50K"
"4076",35,"Private",13,"Married","White-Collar","Husband","White","Male",0,1887,45,"United-States",">50K"
"4079",19,"Private",10,"Never-Married","Other-Occupations","Own-child","White","Male",0,1719,16,"United-States","<=50K"
"4092",33,"Private",9,"Not-Married","Blue-Collar","Not-in-family","White","Male",0,2258,84,"United-States","<=50K"
"4098",40,"Other-Govt",14,"Married","Professional","Husband","White","Male",0,1902,48,"United-States",">50K"
"4132",41,"Private",10,"Married","White-Collar","Husband","White","Male",0,1887,50,"United-States",">50K"
"4138",45,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1887,40,"United-States",">50K"
"4173",46,"Private",14,"Married","Other-Occupations","Husband","White","Male",0,1902,40,"United-States",">50K"
"4178",41,"Private",13,"Married","White-Collar","Husband","White","Male",0,1902,60,"United-States",">50K"
"4202",34,"Private",11,"Married","Blue-Collar","Husband","White","Male",0,1672,50,"United-States","<=50K"
"4246",27,"Federal-Govt",9,"Never-Married","Blue-Collar","Not-in-family","Black","Male",0,1980,40,"United-States","<=50K"
"4268",49,"Private",13,"Married","Blue-Collar","Husband","White","Male",0,1902,40,"United-States",">50K"
"4286",59,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1887,40,"United-States",">50K"
"4306",44,"Private",9,"Never-Married","Admin","Own-child","White","Male",0,1504,50,"United-States","<=50K"
"4375",31,"Self-Employed",13,"Married","Professional","Husband","White","Male",0,1902,50,"Latin-America",">50K"
"4377",67,"Private",10,"Married","White-Collar","Husband","White","Male",0,1539,40,"United-States","<=50K"
"4381",35,"Private",13,"Married","White-Collar","Husband","White","Male",0,1848,70,"United-States",">50K"
"4399",24,"Private",10,"Never-Married","Sales","Own-child","White","Male",0,1762,40,"United-States","<=50K"
"4425",43,"Self-Employed",10,"Not-Married","Sales","Unmarried","White","Female",0,880,42,"United-States","<=50K"
"4466",49,"Private",14,"Married","White-Collar","Husband","White","Male",0,1977,40,"United-States",">50K"
"4472",46,"Private",9,"Married","Admin","Husband","White","Male",0,1485,40,"United-States",">50K"
"4482",25,"Private",13,"Never-Married","Professional","Not-in-family","White","Male",0,1741,40,"United-States","<=50K"
"4505",43,"Other-Govt",13,"Not-Married","Professional","Unmarried","White","Female",0,625,40,"United-States","<=50K"
"4560",47,"Self-Employed",9,"Married","White-Collar","Husband","White","Male",0,2415,50,"United-States",">50K"
"4572",34,"Private",14,"Married","White-Collar","Husband","White","Male",0,1902,50,"United-States",">50K"
"4633",59,"Private",6,"Married","Blue-Collar","Husband","White","Male",0,1485,40,"United-States",">50K"
"4718",34,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1848,50,"United-States",">50K"
"4727",31,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1579,45,"South-America","<=50K"
"4743",30,"Other-Govt",14,"Married","Professional","Husband","White","Male",0,1887,45,"United-States",">50K"
"4765",65,"Self-Employed",15,"Not-Married","Professional","Not-in-family","White","Male",0,1668,40,"United-States","<=50K"
"4769",40,"Federal-Govt",14,"Married","Other-Occupations","Husband","Asian","Male",0,1902,40,"SE-Asia",">50K"
"4785",30,"Private",12,"Married","White-Collar","Husband","White","Male",0,1848,50,"United-States",">50K"
"4806",51,"Federal-Govt",16,"Never-Married","Professional","Not-in-family","White","Female",0,1564,70,"United-States",">50K"
"4811",40,"Private",13,"Not-Married","Sales","Not-in-family","White","Male",0,1564,60,"United-States",">50K"
"4841",20,"Private",9,"Never-Married","Service","Unmarried","White","Male",0,2001,40,"United-States","<=50K"
"4855",25,"Private",13,"Never-Married","Other-Occupations","Not-in-family","Asian","Female",0,1092,40,"SE-Asia","<=50K"
"4865",23,"Private",9,"Never-Married","Blue-Collar","Own-child","Black","Female",0,1594,20,"United-States","<=50K"
"4866",32,"Other-Govt",13,"Married","Other-Occupations","Husband","White","Male",0,1887,45,"United-States",">50K"
"4875",50,"Private",10,"Married","Admin","Wife","White","Female",0,1902,38,"United-States",">50K"
"4898",36,"Private",13,"Married","Professional","Husband","White","Male",0,1485,50,"United-States",">50K"
"4900",44,"Other-Govt",14,"Never-Married","Professional","Not-in-family","White","Male",0,1876,42,"United-States","<=50K"
"4904",54,"Private",9,"Married","Blue-Collar","Husband","Asian","Male",0,1902,40,"United-States",">50K"
"4939",31,"Private",10,"Married","Admin","Wife","White","Female",0,1740,20,"United-States","<=50K"
"4954",49,"Private",10,"Married","Admin","Husband","White","Male",0,1902,50,"United-States",">50K"
"4968",44,"Self-Employed",14,"Married","White-Collar","Wife","White","Female",0,1902,60,"United-States",">50K"
"4973",30,"Private",16,"Married","Professional","Husband","Asian","Male",0,1977,40,"China",">50K"
"5002",55,"Private",13,"Never-Married","Other-Occupations","Other-relative","White","Female",0,1590,38,"United-States","<=50K"
"5025",45,"Federal-Govt",9,"Married","Admin","Husband","White","Male",0,1672,40,"United-States","<=50K"
"5034",42,"Self-Employed",15,"Married","Professional","Husband","White","Male",0,1977,50,"United-States",">50K"
"5045",55,"Private",14,"Married","White-Collar","Husband","White","Male",0,1977,40,"United-States",">50K"
"5054",57,"Other-Govt",13,"Married","Professional","Husband","White","Male",0,1902,40,"United-States",">50K"
"5107",57,"Private",10,"Married","White-Collar","Husband","White","Male",0,1672,45,"United-States","<=50K"
"5124",28,"Other-Govt",14,"Married","Professional","Wife","White","Female",0,1902,55,"United-States","<=50K"
"5138",49,"Self-Employed",9,"Married","Admin","Wife","White","Female",0,2377,40,"United-States",">50K"
"5145",28,"Private",9,"Married","Sales","Husband","White","Male",0,1628,60,"United-States","<=50K"
"5191",27,"Self-Employed",9,"Married","Blue-Collar","Husband","White","Male",0,1740,40,"United-States","<=50K"
"5198",63,"Private",13,"Married","Sales","Husband","White","Male",0,1740,35,"United-States","<=50K"
"5203",41,"Other-Govt",15,"Married","Professional","Husband","White","Male",0,2415,45,"United-States",">50K"
"5239",39,"Federal-Govt",13,"Married","Other-Occupations","Husband","White","Male",0,1887,60,"United-States",">50K"
"5268",57,"Private",10,"Married","Sales","Husband","White","Male",0,1902,40,"United-States",">50K"
